State	Model	DGtau1	DGtaudag	Kdiss(instance0)	Kdiss(instance1)	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho	
7255000	4	-4.8030152948	8.402713059	105.5075921447	4.662498733	0.0287211446	1.1604059433	126.4205724499	19.3939096311	15.9325595875	13.9556731673	29.8024318625	25.4108408162	22.3317205843	39.5856169455	33.999105049	30.0591541843	48.6801982629	42.2625814268	60.7196620361	53.9626305383	48.9155466573	75.4083208846	68.289682382	63.4631091087	98.4268963938	94.9475612267	90.2618121817	8.996869	4.8054	
7260000	4	-5.0935152483	8.6974120065	115.594942073	12.7709249506	1.6367780087	0.3898492749	125.4956522911	19.1534775566	16.4729906268	14.5840771539	29.5765990013	26.005229327	22.9198904627	39.0931190092	34.667622537	31.1158329535	48.0735044527	42.9538823744	59.9285840674	54.7182264355	50.1332632681	74.1029780324	69.3068884022	64.8374225938	98.7235830154	95.0157734924	91.1437087279	8.764013	4.789093	
7265000	4	-4.9642721205	8.1491181845	116.6096505306	6.1088293778	0.0966847585	0.8233871994	130.342965054	19.0645910452	16.1448691954	14.1708523198	29.8439113143	25.6757033276	22.7539834949	39.1545146802	34.2892591535	30.3654515546	48.3532963361	42.9324480499	60.7380399988	54.2607615474	49.8152259889	75.8584665666	69.7635723783	64.7357984569	101.0511744229	96.546388862	93.4102187632	9.422558	4.697656	
7270000	4	-5.0142424461	8.1799632509	114.5596700835	7.0716190257	0.1823647294	1.5128016715	128.0945180134	19.2549541473	16.4148501246	14.4411651374	29.9571588868	25.753541648	23.1014348672	39.4731834266	34.5342534905	30.9554671591	48.6484959215	43.359104383	60.7323413231	54.9818728811	50.6154269279	75.4074993696	70.2020396072	65.2793501645	100.0294701466	95.8460195094	92.8976594961	9.547813	4.820967	
7275000	4	-4.8606919842	9.4943348216	116.898028529	0.3439023822	0.2334714714	2.6901364398	131.9353860197	18.8736571075	15.7096715444	13.6202416321	29.128637543	24.9235485403	21.825373045	38.5867181763	33.6072540163	29.7805654985	48.2047939202	42.0638117429	60.0053942934	53.5798059156	48.5643793304	75.6417916091	69.2256826995	64.2134103515	101.935798702	97.1853921363	91.8793438099	8.135191	4.821893	
7280000	4	-4.8330392798	9.6231011077	111.734811779	3.2441588651	0.1240858248	1.3405518829	129.3651043501	18.9105463573	15.9479780451	13.6773376276	29.4972682376	25.273912769	22.2065033818	39.1603203448	33.5881841843	30.1338734801	48.1432020361	42.264929162	60.0998502458	53.3058175601	48.5544920435	75.2250759978	68.9649802539	63.5392699612	100.2810163343	95.7166685226	91.0851702091	9.730357	4.806737	
7285000	4	-4.9937422613	10.5433100906	111.5627084646	10.320642723	0.0364258045	1.5129557786	126.81650262	19.39563927	16.5843198032	14.4695654926	30.2632000669	25.962055551	23.1108757394	39.4042477799	34.809661735	30.9416383256	48.5501096125	43.2799263273	61.1511410474	54.5559287011	49.9496672156	75.3098209484	69.3685876455	64.4826886125	99.3662626392	95.2877000776	91.8381049188	7.886422	4.769232	
7290000	4	-4.6753715463	8.3774110751	99.7909777909	1.1069648496	0.4928546412	2.4283887609	126.0948079756	19.4864795768	15.7739922588	13.723275028	30.0139990181	25.2067753076	21.9217495148	39.379552979	33.6474236517	29.7611281987	48.7159920663	42.2948192751	60.3150215431	53.9707682799	48.3832598139	74.886799871	68.5298020481	62.8213434014	99.364402715	94.7198607715	89.7384451171	9.232898	4.822114	
7295000	4	-5.0012166975	10.2335093742	115.4017066908	8.6307953967	0.0729395912	0.4849263275	128.948729848	19.3121524003	16.4151207653	14.5121579251	29.8414776031	25.6929996601	22.9038700914	39.351498398	34.6571923045	30.8234257423	49.0430436404	43.0395118224	60.506233492	54.7661642885	50.4587910823	76.1365256217	69.9828573778	65.1095643502	100.1017910363	96.3150363225	92.6091905934	8.796656	4.809788	
7300000	4	-4.8399912838	8.1506858786	113.1419394877	6.7478538414	1.7258972812	1.6061331285	132.431023557	19.2530656685	16.188315673	14.0275303684	29.9448147025	25.535313356	22.5775357221	39.561464817	34.4655818851	30.1464855605	48.687407825	42.8714474772	60.8322598994	54.6876298997	49.3549586021	76.4739298277	69.4439254506	64.8058440201	102.7265302113	98.0499705067	93.4322490953	8.695098	4.790926	
