State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
16270000	5	-4.0106306876	1.7949361307	5.8661324353	1.2764128688	2.6715890266	129.4148816853	19.592068	16.275303	14.022727	30.47939	25.986252	22.642225	39.623369	34.026114	30.412896	49.047887	43.062782	61.134734	54.413945	49.691275	76.384266	70.005559	64.464755	100.949188	96.751735	92.227591	-9.917046	4.629294	
16280000	5	-3.905653578	1.5310045139	5.336440002	1.3051604977	2.1521859734	129.0491440456	19.321206	15.836762	13.735842	30.10058	25.228452	21.995462	39.718502	33.909421	29.673753	48.621536	42.145313	60.89419	53.452212	48.532384	75.637896	68.574945	63.832062	100.44462	95.521499	91.189565	-10.023248	4.627202	
16290000	5	-3.8435058073	0.3993179817	0.8395746258	1.3121400084	0.7458480137	127.4402229286	19.74944	16.156091	13.859278	30.777047	25.538173	21.847266	40.350576	34.026311	30.151705	48.861347	42.562815	61.531963	53.911754	48.803184	76.136526	68.290062	63.269257	100.739249	95.612797	91.215603	-11.586859	4.62922	
16300000	5	-3.8603367752	5.1503672634	0.3503995138	1.2939618559	2.4946207436	127.5024845943	19.755117	16.121261	13.828018	30.532947	25.475607	22.253088	39.938713	33.904313	30.037186	49.523661	42.413748	61.115059	54.311835	48.602675	76.025464	69.220519	63.527215	100.03438	95.088846	91.026199	-12.978729	4.624067	
16310000	5	-3.950912379	4.5504500884	4.2603113343	1.2667652289	0.386673031	126.9095195346	19.372749	15.987019	13.717402	29.962345	25.397639	21.978877	39.389075	33.805119	29.622836	48.086541	42.201633	60.622922	52.952649	48.35996	75.015356	68.149955	62.982833	99.560717	94.57427	90.211502	-10.89612	4.602459	
16320000	5	-3.9168425359	1.3949600116	5.0202318459	1.3128837712	1.9793209982	127.8427603925	19.619565	16.012467	13.712037	30.077286	25.42007	22.108798	39.692818	33.908146	29.801193	48.988748	42.534106	61.218891	54.072875	48.700871	75.838165	68.755101	63.201031	100.613391	95.189033	91.217086	-10.098291	4.628586	
16330000	5	-3.9761989455	2.5524277202	1.5542656439	1.2641475409	1.3897427631	125.9945921624	19.770403	16.538474	14.291799	30.425304	25.90836	22.689896	40.126058	34.536466	30.519929	49.215146	42.774063	61.25261	54.271448	49.549018	75.28688	69.04775	63.915374	99.763394	94.719281	91.361666	-10.04896	4.499296	
16340000	5	-3.9204633679	1.5896943717	0.6117843107	1.2599607372	0.083297883	127.0252324213	19.614206	16.152698	13.898166	30.361661	25.460425	22.287174	39.835378	34.073906	30.046693	49.274787	42.642437	60.783226	53.78979	48.753253	75.339812	68.651376	63.474674	99.698551	95.260842	91.020145	-10.826209	4.517051	
16350000	5	-3.9506281623	3.4463796284	2.0562639252	1.2752588014	1.1613327185	125.9154853064	19.687793	16.367618	14.052267	30.442667	25.686904	22.388096	40.148841	34.069843	30.154169	48.960664	42.505569	60.911207	53.752934	48.603508	75.327965	68.781158	63.673789	99.772488	94.602464	90.740847	-10.174701	4.451423	
16360000	5	-3.9132579055	1.1601622456	0.1859084757	1.2797246558	2.2024556582	124.5926732049	19.945538	16.395335	14.230332	30.570408	25.640964	22.51056	39.971645	34.152421	30.19357	49.042476	42.708065	60.952078	53.781993	48.807585	75.222678	68.572287	63.67623	98.232587	94.409724	89.603636	-12.197756	4.518404	
16370000	5	-3.9978267702	3.1185205475	6.4496262741	1.2886170738	0.0194570418	125.6555615759	19.389838	16.24458	13.946033	29.878607	25.465862	22.198236	39.666778	33.931297	30.08499	48.648488	42.35102	60.606529	53.64261	48.799761	74.688859	68.171838	63.151198	98.286923	94.395805	90.6183	-9.850946	4.540125	
