State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	chiSquared	
10200000	12	-5.5890423737	4.6284613362	0.9710513898	0.3732500783	3.2460291484	29.2350908635	13.033195	15.057232	16.414993	17.952047	21.801451	23.192904	24.345936	25.07279	25.800184	12.39138	12.945496	13.269418	13.644586	13.829796	-17.024274	0.68779	
10300000	12	-4.6486290553	4.5070020954	0.3712950726	0.3794576875	3.3524368419	28.5014560088	13.226338	15.315179	16.612117	18.228882	21.773247	23.145513	24.004457	24.861678	25.627819	12.324032	12.875334	13.15185	13.51195	13.883359	-15.880062	0.703469	
10400000	12	-4.3183855756	4.5284690715	3.0178356895	0.4010957257	3.207427944	27.969062242	13.196441	15.315486	16.572839	17.847347	21.425075	22.717894	23.860393	24.280366	24.920178	12.033652	12.60938	13.055779	13.451611	13.658502	-14.05375	0.70083	
10500000	12	-4.3608260055	4.5252311538	4.0127744728	0.3891892922	3.2951530945	27.9394880436	13.058542	15.065152	16.424462	17.594109	21.520415	22.796903	23.723901	24.536812	24.987791	11.877754	12.450588	12.833519	13.120678	13.458365	-14.072516	0.697243	
10600000	12	-6.0881276052	4.5591999949	7.289477542	0.4115520112	3.0980410563	28.5692115688	13.697222	15.505433	16.985845	18.070129	21.705966	23.23879	24.125606	24.82371	25.346015	12.552998	12.913385	13.264098	13.570307	13.677754	-17.769776	0.690698	
10700000	12	-4.3681552556	4.5935232851	26.3537465124	0.5838336617	3.2249521288	28.6346156316	13.017211	15.069156	16.295331	17.755314	21.532696	22.826568	23.990108	24.638465	25.448314	12.015922	12.626236	13.121358	13.378496	13.707319	-14.42677	0.675914	
10800000	12	-4.7188213069	4.564146487	26.8264041553	0.6144151243	3.2951477851	27.9978310528	12.927703	14.926056	16.204588	17.598848	21.382305	22.600512	23.710038	24.597971	24.947369	12.314918	12.841451	13.2904	13.498522	13.747181	-15.154164	0.682234	
10900000	12	-4.3068600942	4.5884203621	3.3685274659	0.3942609898	2.950964542	28.7455236677	13.508721	15.339957	16.676916	17.967106	21.643384	22.804605	23.889198	24.577903	25.18934	11.921695	12.563636	13.048385	13.377666	13.71047	-13.936212	0.700323	
11000000	12	-4.7557946921	4.6060499757	1.0652408973	0.3597985002	3.1457217989	29.0403190568	13.134681	15.047761	16.385944	17.834714	21.801954	22.936693	24.141081	24.791837	25.59256	11.825515	12.540264	12.883572	13.170597	13.454072	-15.191263	0.686945	
11100000	12	-4.529178193	4.4868152898	25.1944168953	0.6110899582	3.3276399419	27.7953339454	13.359764	15.347897	16.659528	17.93154	21.694544	22.710888	23.909301	24.363767	25.034826	12.26612	12.899439	13.320545	13.624993	13.784545	-14.84114	0.69444	
11200000	12	-4.2277471734	4.562156579	14.4121356126	0.4752582691	3.0948737292	28.3917864999	13.327996	15.321636	16.601295	17.717249	21.448322	22.781771	23.762152	24.527921	25.092088	11.965721	12.623998	13.056701	13.543521	13.683025	-13.91984	0.695449	
