State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
1184	5	-4.0991692784	4.3057645734	46.0473271108	2.0052825325	0.0699951238	126.8125078081	19.318065	16.28298	14.041713	30.077757	25.836535	22.717608	39.68541	34.22883	30.495208	48.599178	42.701275	60.333007	54.019451	49.728257	75.004803	69.379918	64.696564	99.002006	94.898724	91.118852	-11.653867	4.615805
1185	5	-4.0672674969	2.8553234348	57.7478991166	2.4189955997	0.5403395232	129.115786597	19.412695	16.046461	14.016251	29.654463	25.701179	22.604603	39.373918	34.068852	30.106997	48.899685	42.615232	60.868928	54.456401	49.234925	75.468703	69.485215	65.130978	100.580346	96.203994	92.137802	-11.142962	4.464788
1186	5	-3.8869064642	1.9403181378	41.7248101579	2.1223727956	2.8123678048	128.273126842	19.638856	16.191082	13.89399	30.243732	25.386317	21.773984	39.865733	34.126497	29.796029	48.714526	42.4776	60.708608	53.626864	48.560659	75.183007	68.671235	63.588242	99.947956	95.197836	90.655184	-10.798993	4.367043
1187	5	-3.9389233029	3.5410788543	38.1637984619	2.1251767117	3.1106071702	123.2547760918	20.157556	16.742721	14.3895	30.725736	25.893725	22.592857	40.370445	34.511263	30.734726	49.052555	42.646358	60.424232	54.264748	49.054628	75.093904	68.91867	63.997118	98.169617	94.29483	90.685925	-10.921199	4.243918
1188	5	-3.9950271479	2.5906205738	41.6482638295	1.9717279914	2.3203914207	129.4220818105	19.496714	16.159729	14.069191	30.321553	25.803975	22.469137	39.632339	34.222503	30.207885	49.224342	42.062658	60.954968	53.934781	49.93484	76.32271	69.349672	64.157215	100.303397	95.921086	92.030869	-10.69107	4.571796
1189	5	-3.9897117901	4.8890202646	38.5061887339	2.0028737322	2.7033287819	122.7519003743	19.740154	16.494071	14.158223	30.037931	25.762452	22.339276	39.741215	33.616099	30.156373	49.090684	42.384554	60.554677	53.797592	48.871013	73.288927	68.308242	63.32219	96.995803	92.833001	89.585116	-12.133435	4.41559
1190	5	-3.7654890333	3.9382230186	55.3983391636	3.1236811851	0.415473881	129.6824600807	20.085252	15.938342	13.754505	30.726073	25.225352	22.103381	40.59268	33.726511	29.563691	49.948272	42.519034	61.373779	54.32918	48.548476	76.115488	69.937795	64.036051	100.795641	96.483538	92.1893	-11.822439	4.335159
1191	5	-3.8675073963	2.1966209921	45.6868670574	2.3660407749	0.6852198116	127.9225305872	19.782995	16.339489	13.954132	30.369337	25.411322	21.957966	39.830783	33.844369	30.364851	49.527827	42.385541	61.233343	54.421328	48.658247	75.476229	68.586955	63.498631	100.726468	95.259986	91.251687	-10.887202	4.427311
1192	5	-3.9668240114	3.6378861402	36.6986159922	1.8957157637	0.7903879514	128.2632331976	19.540698	16.270474	14.173783	30.45158	25.468939	22.343503	40.24434	34.311648	30.239267	49.196348	43.16348	61.450382	54.460804	48.745223	75.564332	69.686859	64.6261	101.436278	95.928232	93.080476	-10.911083	4.467248
1193	5	-3.8836945079	2.6923716	35.6335873166	1.8375924106	2.2820102211	132.1108785648	19.157436	16.029436	13.388477	29.864626	25.176384	21.800728	39.715838	33.687484	29.376887	48.408606	42.250652	61.109713	54.054755	48.136372	76.279826	68.753009	63.516366	101.709382	97.651159	93.409666	-10.546761	4.583991
